emanuel,121
dfgeafgaedf,342
sdfwsdf,12312
sla,56435
teste,200
pedro,222
pedros,121
gabriel,222
marcos,2234
isdfbgnsufyhbsdo,3422
kdjfngjkdfngduh,234242
ana2,233232
slaaaaa,12121334
teste6,43753786459
eqrtgedsfgasd,4325532
testesla,12111
asdasdadad,234242
fsdfwsddsas,234234
fasdfsdfsdfsdf,43535345
sdfsdfsdfsf,32424
sdqdqwqesdq,234234
sdfwsdfsdfsew,435345
asdasfsdgfs,324234
asdadwe,32
asdadadasdaqs,23
sadasdas,2
fsdfsdfsdfs,223422432
asdweqwqedsaqw,324232476
a,11111111
s,12345678
agenor,21010389
erkfghbdeufbghr,23424223424
sla123,8324829641278362
henrique,02062010
emanuel123,12345678
ksdjnkjsndfjk,123123213
emanuelw,1211123312
sdfsdfwf,32323242
dkfshbusdhbfkusf,122313123123
sdfsdfsggf,324242432
dfsbfiusygfsuygfs,324242423424323
adfgadfgadgfar,324234234'234
adfglandefgjkhbsdf,4536453453453
asdfsdfdfaf,24332342
João,12345678
pedro2,12345678
pedro23,12345678
pedro24,12345678
